,Timestamp,RFID,Wedge,Reader,Location,Mouse,Genotype,AssignedWedge,Date,Week,Day,Hour,Minute,Second
1,5/25/21 19:51,48 48 48 49 51 48 50 51 57,Wedge 6,41,Feeder,356,C57,Wedge 6,5/25/21,Week 1,25-May,19,51,47
2,5/25/21 19:52,48 48 48 49 51 48 50 51 57,Wedge 6,41,Feeder,356,C57,Wedge 6,5/25/21,Week 1,25-May,19,52,4
3,5/25/21 19:53,48 48 48 49 51 48 50 51 57,Wedge 6,41,Feeder,356,C57,Wedge 6,5/25/21,Week 1,25-May,19,53,12
4,5/25/21 19:53,48 48 48 49 51 48 50 51 57,Wedge 6,41,Feeder,356,C57,Wedge 6,5/25/21,Week 1,25-May,19,53,28
5,5/25/21 19:53,48 48 48 49 51 48 50 51 57,Wedge 6,41,Feeder,356,C57,Wedge 6,5/25/21,Week 1,25-May,19,53,45
6,5/25/21 19:54,48 48 48 49 51 48 50 51 57,Wedge 6,41,Feeder,356,C57,Wedge 6,5/25/21,Week 1,25-May,19,54,8
7,5/25/21 20:48,48 48 48 49 51 48 50 51 57,Wedge 6,41,Feeder,356,C57,Wedge 6,5/25/21,Week 1,25-May,20,48,50
8,5/25/21 20:48,48 48 48 49 51 48 50 51 57,Wedge 6,41,Feeder,356,C57,Wedge 6,5/25/21,Week 1,25-May,20,48,59
9,5/25/21 20:59,48 48 48 49 51 48 50 48 49,Wedge 6,41,Feeder,126,C57,Wedge 6,5/25/21,Week 1,25-May,20,59,31
10,5/25/21 20:59,48 48 48 49 51 48 50 48 49,Wedge 6,41,Feeder,126,C57,Wedge 6,5/25/21,Week 1,25-May,20,59,33
11,5/25/21 20:59,48 48 48 49 51 48 50 48 49,Wedge 6,41,Feeder,126,C57,Wedge 6,5/25/21,Week 1,25-May,20,59,36
12,5/25/21 20:59,48 48 48 49 51 48 50 48 49,Wedge 6,41,Feeder,126,C57,Wedge 6,5/25/21,Week 1,25-May,20,59,40
13,5/25/21 21:00,48 48 48 49 51 48 50 48 49,Wedge 6,41,Feeder,126,C57,Wedge 6,5/25/21,Week 1,25-May,21,0,29
14,5/25/21 21:00,48 48 48 49 51 48 50 48 49,Wedge 6,41,Feeder,126,C57,Wedge 6,5/25/21,Week 1,25-May,21,0,42
