Assay_No,File_name,Start_time_in_seconds,End_time_in_seconds,Notes
183,VID_20220804_111349,2,602,
184,VID_20220804_113638,3,603,
185,VID_20220804_115701,2,602,
186,VID_20220804_121652,2,602,
187,VID_20220915_091426,2,602,
188,VID_20220915_093544,2,602,
189,VID_20220915_100603,4,604,
190,VID_20220915_102936,2,602,
191,VID_20220915_105632,7,607,
192,VID_20220915_113520,2,602,
193,VID_20220915_120416,2,602,
194,VID_20220915_122715,16,616,
195,VID_20220915_125547,2,602,
196,VID_20220915_131718,2,602,
197,VID_20220916_100728,4,604,
198,VID_20220916_103553,2,602,
199,VID_20220916_110146,5,605,
200,VID_20220916_112541,4,604,
201,VID_20220916_114649,1,601,
202,VID_20220916_120847,9,609,
203,VID_20220916_123101,2,602,
204,VID_20220916_125029,1,601,
205,VID_20220917_102248,2,602,
206,VID_20220917_104813,2,602,
207,VID_20220917_111153,2,602,"THERE ARE TWO MICE IN THIS VIDEO :( dunno wtf happened, but gotta exclude this one. It's hella cute when they interact though. Syncronized jump at 7:00!"
208,VID_20220917_114032,0,600,
209,VID_20220917_120808,1,601,
210,VID_20220917_123428,8,608,
211,VID_20220917_130049,0,600,
212,VID_20220917_132335,3,603,
213,VID_20220919_091639,0,600,
214,VID_20220919_094220,0,600,
215,VID_20220919_100620,0,600,
216,VID_20220919_103347,0,600,
217,VID_20220919_110328,0,600,
218,VID_20220919_112602,0,600,
219,VID_20220919_114938,0,600,
220,VID_20220919_121130,0,600,
221,VID_20220920_093347,0,600,
222,VID_20220920_100855,0,600,
223,VID_20220920_103024,0,600,
224,VID_20220920_105105,0,600,
225,VID_20220920_111340,1,601,
226,VID_20220920_114142,0,600,
227,VID_20220920_121225,1,601,
228,VID_20220920_123454,0,600,
229,VID_20220921_093850,0,600,
230,VID_20220921_100445,0,600,
231,VID_20220921_102714,0,600,
232,VID_20220921_104946,0,600,
233,VID_20220921_111551,0,600,
234,VID_20220921_113814,0,600,
235,VID_20220921_120350,0,600,
236,VID_20220923_104542,0,600,
237,VID_20220923_111318,1,601,
238,VID_20220923_114230,0,600,
239,VID_20220923_121723,0,600,
240,VID_20220923_124713,0,600,
241,VID_20220923_131213,0,600,
242,VID_20220923_133515,0,600,
243,VID_20220923_135430,0,600,
244,VID_20220924_101910,0,600,
245,VID_20220924_104643,0,600,
246,VID_20220924_111207,0,600,
247,VID_20220924_113551,0,600,
248,VID_20220924_120147,0,600,
249,VID_20220924_123116,0,600,
250,VID_20220924_125701,0,600,
251,VID_20220924_132305,0,600,
252,VID_20220925_103012,0,600,
253,VID_20220925_105606,1,601,
254,VID_20220925_112127,0,600,
255,VID_20220925_114535,0,600,
256,VID_20220925_120921,0,600,
257,VID_20220925_123339,0,600,
258,VID_20220925_125536,0,600,
259,VID_20220925_131928,0,600,
260,VID_20220927_092836,0,600,
261,VID_20220927_095140,0,600,
262,VID_20220927_101610,0,600,
263,VID_20220927_104102,0,600,
264,VID_20220927_110316,0,600,
265,VID_20220927_112914,0,600,
266,VID_20220927_114936,0,600,
267,VID_20220927_121320,0,600,
